dataset,run,reader,K,rotation,negative_type,request_tokens_total,request_tokens_mean,response_tokens_total,response_tokens_mean
e2ewtq,2nd,claude-haiku-4-5,5,end,soft,551750,2308.58,28903,120.93
e2ewtq,2nd,claude-haiku-4-5,5,middle,hard,594356,2486.85,32546,136.18
e2ewtq,2nd,claude-haiku-4-5,5,middle,soft,551750,2308.58,31411,131.43
e2ewtq,2nd,claude-haiku-4-5,5,start,hard,594356,2486.85,28793,120.47
e2ewtq,2nd,claude-haiku-4-5,5,start,soft,551750,2308.58,27394,114.62
e2ewtq,2nd,claude-haiku-4-5,10,end,hard,1181814,4944.83,33652,140.80
e2ewtq,2nd,claude-haiku-4-5,10,end,soft,1093211,4574.10,32376,135.46
e2ewtq,2nd,claude-haiku-4-5,10,middle,hard,1181814,4944.83,34468,144.22
e2ewtq,2nd,claude-haiku-4-5,10,middle,soft,1093211,4574.10,33719,141.08
e2ewtq,2nd,claude-haiku-4-5,10,start,hard,1181814,4944.83,30978,129.62
e2ewtq,2nd,claude-haiku-4-5,10,start,soft,1093211,4574.10,28782,120.43
e2ewtq,2nd,claude-haiku-4-5,20,end,hard,2363029,9887.15,37000,154.81
e2ewtq,2nd,claude-haiku-4-5,20,end,soft,2188326,9156.18,35329,147.82
e2ewtq,2nd,claude-haiku-4-5,20,middle,hard,2363029,9887.15,37574,157.21
e2ewtq,2nd,claude-haiku-4-5,20,middle,soft,2188326,9156.18,36752,153.77
e2ewtq,2nd,claude-haiku-4-5,20,start,hard,2363029,9887.15,32548,136.18
e2ewtq,2nd,claude-haiku-4-5,20,start,soft,2188326,9156.18,30416,127.26
e2ewtq,2nd,claude-haiku-4-5,30,end,hard,3524714,14747.76,38805,162.36
e2ewtq,2nd,claude-haiku-4-5,30,end,soft,3280104,13724.28,36719,153.64
e2ewtq,2nd,claude-haiku-4-5,30,middle,hard,3524714,14747.76,38244,160.02
e2ewtq,2nd,claude-haiku-4-5,30,middle,soft,3280104,13724.28,38199,159.83
e2ewtq,2nd,claude-haiku-4-5,30,start,hard,3524714,14747.76,33915,141.90
e2ewtq,2nd,claude-haiku-4-5,30,start,soft,3280104,13724.28,32181,134.65
e2ewtq,2nd,claude-haiku-4-5,40,end,hard,4684042,19598.50,42218,176.64
