Dataset,Model,K,Score (Soft mean),Input Tokens (Soft Rotation Avg),Output Tokens (Soft Rotation Avg),Soft Avg_Cost($),Score (Hard mean),Input Tokens (Hard Rotation Avg),Output Tokens (Hard Rotation Avg),Hard Avg_Cost($),CpS(Soft),CpS(Hard),CpS(Avg),Score (BGE-m3),Input Tokens (BGE-m3),Output Tokens (BGE-m3),BGE-m3 Avg_Cost($),CpS(BGE-m3)
FeTaQA,gpt-4o,5,0.7814775290248961,2153,61,0.0059925,0.7106620405990475,2587,81,0.0072775,0.007668166744957158,0.010240451275356544,0.008954309010156852,0.4675,2652,84,0.007469,0.0159772
FeTaQA,gpt-4o,10,0.7817017882278922,4265,65,0.0113125,0.6877225453493963,5203,92,0.0139275,0.014471631215844204,0.02025162631962888,0.01736162876773654,0.503,5261,94,0.01409,0.0280122
FeTaQA,gpt-4o,20,0.7761844777997634,8506,71,0.021974999999999998,0.6680567369363493,10257,105,0.026692499999999997,0.028311568484714028,0.03995543869882894,0.03413350359177149,0.542,10341,109,0.026942,0.0497081
FeTaQA,gpt-4o,30,0.772720115289291,12724,76,0.032569999999999995,0.6653724478377789,15274,115,0.039334999999999995,0.04214980218006417,0.05911726601818965,0.05063353409912691,0.5605,15338,121,0.039559,0.0705775
FeTaQA,gpt-4o,40,0.7674122313352297,16944,80,0.043160000000000004,0.6557583431503511,20264,120,0.051859999999999996,0.056240959210287024,0.07908401096485879,0.0676624850875729,0.5725,20299,127,0.052016,0.0908582
FeTaQA,gpt-4o,50,0.7631101382843571,21197,83,0.053822499999999995,0.6622014374333055,25164,128,0.06419,0.07053044809626702,0.0969342504733916,0.08373234928482931,0.584,25206,132,0.064331,0.1101562
FeTaQA,claude-haiku-4-5,1,0.8859391970105253,332,79,0.000727,0.8859391970105253,331.97,78.74,0.00072567,0.0008205980754132532,0.0008190968437209566,0.0008198474595671049,0.3955,387,101,0.000893,0.0022571
FeTaQA,claude-haiku-4-5,5,0.8295439989055203,1582,91,0.002037,0.7254864429078299,1890,106,0.00242,0.002455565952725313,0.003335692932179921,0.002895629442452617,0.4835,1925,119,0.002517,0.0052066
FeTaQA,claude-haiku-4-5,10,0.7880315980665124,2867,88,0.003307,0.6756863654966424,3820,111,0.004375,0.004196532230577991,0.006474897561066356,0.0053357148958221735,0.497,3843,118,0.004433,0.0089196
FeTaQA,claude-haiku-4-5,20,0.7465560683406594,6315,105,0.006840000000000001,0.6498668323796725,7563,117,0.008148,0.00916207139699902,0.012537953306777911,0.010850012351888465,0.5335,7583,121,0.008189,0.0153495
FeTaQA,claude-haiku-4-5,30,0.7365040800574753,9440,111,0.009995,0.6397566945525066,11236,120,0.011836,0.013570868472609155,0.01850078334589211,0.016035825909250633,0.5355,11253,124,0.011874,0.022174
FeTaQA,claude-haiku-4-5,40,0.7299451043515894,12571,113,0.013136,0.6381505474880099,14895,121,0.0155,0.017995873828989803,0.02428893943758816,0.02114240663328898,0.552,14911,125,0.015538,0.0281476
FeTaQA,claude-haiku-4-5,50,0.7286433356266939,15727,111,0.016282,0.6373748125872895,18508,121,0.019113,0.022345637713129054,0.02998706510289414,0.026166351408011598,0.544,18520,125,0.019147,0.0351959
FeTaQA,gpt-oss-20b,1,0.6774945329213855,544,304,4.1280000000000005e-05,0.6774945329213855,544,304,4.1280000000000005e-05,6.093038097591559e-05,6.093038097591559e-05,6.093038097591559e-05,0.308,617,131,0.000025,0.0000828
FeTaQA,gpt-oss-20b,5,0.6610159325145142,2232,407,8.533999999999999e-05,0.5368271398487389,2670,481,0.0001015,0.00012910430112533807,0.0001890738982172167,0.00015908909967127737,0.358,2717,149,0.000069,0.0001933
FeTaQA,gpt-oss-20b,10,0.6402913731280525,4357,371,0.00012424,0.5043252206535237,5304,558,0.00016188,0.0001940366608299642,0.00032098335234995737,0.0002575100065899608,0.3855,5333,161,0.000123,0.0003185
FeTaQA,gpt-oss-20b,20,0.6330058621868967,8622,475,0.00021994,0.4957720005471144,10400,751,0.0002831,0.0003474533383311103,0.0005710286173635906,0.0004592409778473505,0.386,10425,173,0.000226,0.000585
FeTaQA,gpt-oss-20b,30,0.6286944352106084,12840,546,0.0003114,0.4959805987779471,15401,874,0.00039542,0.0004953121620929937,0.0007972489266198726,0.0006462805443564331,0.421,15424,195,0.000328,0.0007791
FeTaQA,gpt-oss-20b,40,0.620522760188953,17060,500,0.0003912,0.48459627143854916,20375,853,0.0004928,0.000630436182358367,0.0010169289964553332,0.0008236825894068501,0.416,20398,665,0.000474,0.0011406
FeTaQA,gpt-oss-20b,50,0.613336061891937,21323,654,0.00049186,0.4900396910039359,25283,1091,0.00061476,0.0008019420845446069,0.0012545106269668722,0.0010282263557557397,0.4375,25303,661,0.000572,0.0013079
FeTaQA,qwen3-32b,1,0.8666644479818357,540,582,0.00049998,0.8666644479818357,540,582,0.00049998,0.000576901476879872,0.000576901476879872,0.000576901476879872,0.3805,631,704,0.000598,0.0015725
FeTaQA,qwen3-32b,5,0.8361413094622745,2454,706,0.0011281999999999998,0.7411675551854735,2959,1075,0.0014923599999999999,0.0013492934594100479,0.0020135258074357345,0.0016814096334228912,0.4795,3017,1114,0.001532,0.0031954
FeTaQA,qwen3-32b,10,0.8253564757982449,4865,753,0.00185512,0.7004531805011499,5947,1169,0.0024143399999999996,0.002247659107788326,0.003446825665453647,0.002847242386620987,0.5165,5984,1228,0.00246,0.0047624
FeTaQA,qwen3-32b,20,0.8004521240406214,9711,794,0.0032846499999999996,0.6577498190222884,11729,1128,0.00406693,0.004103493389984821,0.006183095581911804,0.0051432944859483125,0.529,11760,1431,0.004255,0.0080433
FeTaQA,qwen3-32b,30,0.7698598541950749,14506,794,0.004675199999999999,0.6346119767607673,17398,1150,0.00572392,0.00607279360590655,0.009019558737634372,0.007546176171770461,0.5395,17426,1282,0.00581,0.010769
FeTaQA,qwen3-32b,40,0.7590094493893248,19298,858,0.0061026399999999995,0.6158067257317211,23034,1254,0.0074197199999999994,0.008040268806811288,0.012048780388333128,0.010044524597572208,0.5385,23058,1102,0.007337,0.0136248
FeTaQA,qwen3-32b,50,0.7400274624087414,24142,786,0.007464919999999999,0.6040437992690295,28597,1077,0.008928559999999999,0.01008735537422107,0.014781312233988167,0.012434333804104618,0.5435,28618,1095,0.008945,0.016458
