Dataset,Model,K,Score (Soft Avg) 1st,Score (Soft Avg) 2nd,Score (Soft Avg) 3rd,Score (Soft Avg Mean),Standard deviation (Soft),SEM (Soft),Score (Hard Avg) 1st,Score (Hard Avg) 2nd,Score (Hard Avg) 3rd,Score (Hard Avg Mean),Standard deviation (Hard),SEM (Hard),Score (BGE-m3) 1st,Score (BGE-m3) 2nd,Score (BGE-m3) 3rd,Score (BGE-m3 Avg mean),Standard deviation (BGE-m3),SEM (BGE-m3)
OTTQA,claude-haiku-4-5,10,0.3557666666666666,0.34883333333333333,0.3502825403114062,0.3516275134371354,0.0036571152989040303,0.0021114365022797408,0.3509333333333333,0.3384666666666667,0.33466930339306206,0.34135643446435404,0.008508392087693363,0.004912322462200645,0.3529,0.3404,0.3366,0.3433,0.0085,0.0049
OTTQA,claude-haiku-4-5,20,0.3609,0.3565333333333333,0.35813111467338926,0.35852148266890754,0.0022093516749010773,0.0012755697842386877,0.3384666666666667,0.3544333333333333,0.3529350349870448,0.34861167832901496,0.00881771913283187,0.005090912514978994,0.3456,0.3618,0.3604,0.3559,0.009,0.0052
OTTQA,claude-haiku-4-5,30,0.3673666666666667,0.3625333333333334,0.3584465921244632,0.3627821973748211,0.004465241588422256,0.002578008433072302,0.33623333333333333,0.3574333333333333,0.3562168278749342,0.3499611648472003,0.011904200516515912,0.006872893372697744,0.3427,0.3643,0.3631,0.3567,0.0121,0.007
OTTQA,claude-haiku-4-5,40,0.35936666666666667,0.3633,0.3617500985069499,0.36147225505787217,0.001981331752742166,0.0011439224207996427,0.3297,0.3582,0.35936429513621065,0.34908809837873694,0.016800674535527915,0.009699873965654334,0.3357,0.3648,0.366,0.3555,0.0171,0.0099
OTTQA,claude-haiku-4-5,50,0.3554333333333333,0.3651333333333333,0.36371600677732857,0.36142755781466507,0.005239298520893487,0.0030249104114026633,0.3194666666666666,0.35559999999999997,0.35678057841912425,0.34394908169526356,0.02121060879784641,0.01224595069911247,0.3345,0.3722,0.3735,0.3601,0.0222,0.0128
OTTQA,gpt-oss-20b,1,0.318,0.3284,0.32503584528735396,0.323811948429118,0.005306924028069368,0.0030639540161747428,0.318,0.3284,0.32503584528735396,0.323811948429118,0.005306924028069368,0.0030639540161747428,0.2684,0.2772,0.2743,0.2733,0.0045,0.0026
OTTQA,gpt-oss-20b,5,0.3036666666666667,0.30716666666666664,0.3056673030225348,0.3055002121186227,0.0017559725304307947,0.0010138112131338078,0.27793333333333337,0.31153333333333333,0.31041974579085096,0.2999621374858392,0.01908562754000474,0.011019092197874673,0.2774,0.311,0.3099,0.2994,0.0191,0.011
OTTQA,gpt-oss-20b,10,0.2945,0.3199,0.32351939448266337,0.31263979816088777,0.015813418735162708,0.009129881563554461,0.27566666666666667,0.31316666666666665,0.31432484666403876,0.3010527266657907,0.02199259823067574,0.012697432508659926,0.246,0.2795,0.2805,0.2687,0.0196,0.0113
OTTQA,gpt-oss-20b,20,0.28306666666666663,0.2978,0.29871570355909166,0.29319412340858614,0.008782577258221009,0.005070623344212585,0.26663333333333333,0.2836666666666667,0.2849151384139688,0.2784050461379896,0.010213696059332993,0.005896880169276923,0.2513,0.2674,0.2685,0.2624,0.0096,0.0056
OTTQA,gpt-oss-20b,30,0.2845333333333333,0.31103333333333333,0.31217417610606796,0.3025802809242449,0.01563952104668991,0.009029481686303237,0.266,0.31206666666666666,0.3086554842264214,0.295574050297696,0.025668606889898596,0.014819777097605638,0.2699,0.3166,0.3131,0.2999,0.026,0.015
OTTQA,gpt-oss-20b,40,0.2859,0.31603333333333333,0.3170125737394062,0.3063153023575798,0.01768694873930424,0.010211564615780416,0.2619666666666667,0.30443333333333333,0.30554524430787317,0.2906484147692911,0.024845343470570564,0.014344465740842628,0.2614,0.3037,0.3049,0.29,0.0248,0.0143
OTTQA,gpt-oss-20b,50,0.28773333333333334,0.3127,0.3162238916868613,0.30555240834006486,0.01553203234373487,0.008967423054717302,0.2589666666666666,0.3074333333333333,0.30866337180779346,0.2916877906025978,0.028343997819381243,0.01636441477092993,0.237,0.2813,0.2825,0.2669,0.0259,0.015
OTTQA,qwen3-32b,1,0.3433,0.3505,0.35420193509129083,0.3493339783637636,0.005543712837603347,0.003200664099100277,0.3433,0.3505,0.35420193509129083,0.3493339783637636,0.005543712837603347,0.003200664099100277,0.3196,0.3263,0.3298,0.3252,0.0052,0.003
OTTQA,qwen3-32b,5,0.41163333333333335,0.3330666666666667,0.3342238237793432,0.3596412745931144,0.04503016080562713,0.025998175462780958,0.40063333333333334,0.33440000000000003,0.3332782791386484,0.3561038708239939,0.0385677240442147,0.02226708585895856,0.3669,0.3062,0.3052,0.3261,0.0353,0.0204
OTTQA,qwen3-32b,10,0.3508,0.33726666666666666,0.34114209623350406,0.34306958763339024,0.006969519000638009,0.004023853671140567,0.45936666666666665,0.33696666666666664,0.3358429142134473,0.3773920825155936,0.07099429582684834,0.04098857580655882,0.3938,0.309,0.3079,0.3369,0.0492,0.0284
OTTQA,qwen3-32b,20,0.4513666666666667,0.32536666666666664,0.32442814556245,0.36705382629859445,0.07301856951258899,0.04215729076393466,0.4525666666666666,0.3279,0.329115698148444,0.36986078827170354,0.07162797094228517,0.04135442830503504,0.3941,0.3058,0.3069,0.3356,0.0507,0.0293
OTTQA,qwen3-32b,30,0.19403333333333336,0.3306,0.3317533526442301,0.28546222865918786,0.07918184596837856,0.045715660084774845,0.4231,0.32866666666666666,0.32745727885823356,0.3597413151749667,0.0548735625031419,0.03168126608258273,0.3958,0.3075,0.3063,0.3365,0.0513,0.0296
OTTQA,qwen3-32b,40,0.15566666666666668,0.327,0.3307206314890096,0.2711290993852254,0.10001070343535752,0.0577412065502475,0.3667666666666667,0.32686666666666664,0.32562521838905273,0.3397528505741287,0.0234028842959067,0.0135116615480554,0.3579,0.319,0.3177,0.3316,0.0229,0.0132
OTTQA,qwen3-32b,50,0.19256666666666666,0.32549999999999996,0.32433370935155176,0.2808001253394061,0.07641464179386488,0.04411801400971672,0.3455333333333333,0.3223333333333333,0.32330721475601476,0.33039129380756044,0.01312242858644738,0.007576237676807036,0.3335,0.3111,0.312,0.3189,0.0127,0.0073
FeTaQA,gpt-4o,1,0.7705,0.7735,0.7815634886042193,0.7751878295347397,0.005721605668663107,0.0033033705729995336,0.7705,0.7735,0.7815634886042193,0.7751878295347397,0.005721605668663107,0.0033033705729995336,0.3573,0.3587,0.3625,0.3595,0.0027,0.0015
FeTaQA,gpt-4o,5,0.7771666666666667,0.7823333333333333,0.7849325870746883,0.7814775290248961,0.003953059663942145,0.0022823000610996493,0.6995,0.715,0.7174861217971428,0.7106620405990475,0.009746207629054846,0.0056269755982128,0.4601,0.4703,0.472,0.4675,0.0064,0.0037
FeTaQA,gpt-4o,10,0.7756666666666666,0.783,0.7864386980170096,0.7817017882278922,0.005502106888013246,0.003176642892904542,0.6828333333333334,0.6886666666666666,0.6916676360481887,0.6877225453493963,0.004492187653106027,0.002593565750771078,0.4994,0.5037,0.5059,0.503,0.0033,0.0019
FeTaQA,gpt-4o,20,0.7715000000000001,0.7826666666666666,0.7743867667326233,0.7761844777997634,0.005796329435237334,0.0033465123597460266,0.6576666666666666,0.6748333333333334,0.6716702108090479,0.6680567369363493,0.00913600055727989,0.005274672381062116,0.5336,0.5474,0.5449,0.542,0.0074,0.0043
FeTaQA,gpt-4o,30,0.7691666666666667,0.7701666666666668,0.7788270125345392,0.772720115289291,0.00531231074703056,0.0030670640398170355,0.6571666666666666,0.6658333333333334,0.6731173435133369,0.6653724478377789,0.007985319940161148,0.004610326617017326,0.5536,0.5608,0.567,0.5605,0.0067,0.0039
FeTaQA,gpt-4o,40,0.7628333333333334,0.7655,0.7739033606723557,0.7674122313352297,0.005777443018433935,0.0033356082819205567,0.6581666666666667,0.6581666666666667,0.6509416961177199,0.6557583431503511,0.004171338691321538,0.0024083235163155914,0.5746,0.5746,0.5683,0.5725,0.0036,0.0021
FeTaQA,gpt-4o,50,0.7639999999999999,0.7639999999999999,0.7613304148530715,0.7631101382843571,0.0015412857032037317,0.0008898617156427961,0.6608333333333333,0.6645,0.6612709789665833,0.6622014374333055,0.0020026047612628187,0.0011562043979955147,0.5828,0.586,0.5832,0.584,0.0018,0.001
