dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
OTTQA,gpt-4o,30,bge_m3,0.391,0.017,1.080,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,40,hard,0.386,0.010,0.909,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,40,soft,0.384,0.029,0.902,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,40,bge_m3,0.389,0.009,1.075,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,50,hard,0.388,0.008,0.912,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,50,soft,0.376,0.031,0.885,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-4o,50,bge_m3,0.400,0.009,1.106,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,1,hard,0.363,0.004,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,1,soft,0.363,0.004,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,1,bge_m3,0.336,0.003,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,5,hard,0.347,0.007,0.957,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,5,soft,0.342,0.006,0.942,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,5,bge_m3,0.335,0.006,0.997,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,10,hard,0.341,0.009,0.941,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,10,soft,0.352,0.004,0.969,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,10,bge_m3,0.343,0.009,1.022,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,20,hard,0.349,0.009,0.961,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,20,soft,0.359,0.002,0.988,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,20,bge_m3,0.356,0.010,1.059,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,30,hard,0.350,0.012,0.965,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,30,soft,0.363,0.004,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,30,bge_m3,0.357,0.012,1.062,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,40,hard,0.349,0.017,0.962,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
