dataset,reader,K,condition,score_display,input_tokens_display,output_tokens_display,published_cps,publication_precision_decimals,source,provenance_class
OTTQA,claude-haiku-4-5,10,soft,0.3516275134371354,3652,195,0.013158811023549849,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,10,hard,0.34135643446435404,3785,206,0.014105490665660218,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,10,bge_m3,0.3433,3568,189,0.0131534,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,20,soft,0.35852148266890754,7241,212,0.02315342427518053,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,20,hard,0.34861167832901496,7426,221,0.024471354605477554,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,20,bge_m3,0.3559,7037,200,0.022589,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,30,soft,0.3627821973748211,10828,213,0.032782755289704396,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,30,hard,0.3499611648472003,10998,225,0.03464098653715801,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,30,bge_m3,0.3568,10459,205,0.0321801,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,40,soft,0.36147225505787217,14406,218,0.0428691269749571,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,40,hard,0.34908809837873694,14563,229,0.04499723729612198,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,40,bge_m3,0.3555,13825,207,0.0418064,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,50,soft,0.36142755781466507,17993,216,0.052771294240325645,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,50,hard,0.34394908169526356,18087,227,0.05588617915552557,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,50,bge_m3,0.36,17181,206,0.0505853,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,1,soft,0.323811948429118,530,732,0.00025879217986405994,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,1,hard,0.323811948429118,530,732,0.00025879217986405994,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,1,bge_m3,0.2733,549,523,0.0002315,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,5,soft,0.3055002121186227,2102,797,0.0003984939949983719,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,5,hard,0.2999621374858392,2182,1051,0.0004958625820134443,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,5,bge_m3,0.2995,2310,1001,0.0004886,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,10,soft,0.31263979816088777,4042,1039,0.0005909036568176482,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
